asin,title,brand,category,price,currency,original_price,discount_percent,rating,review_count,bought_last_month,availability,is_prime,seller,product_url,image_url,scraped_at
B0GPSX4BWX,"ASUS Vivobook Go 15 15.6” FHD 60Hz Laptop with Intel Processor N150, Intel UHD Graphics, 8GB RAM, 128GB SSD, Cool Silver",,laptop,33538.49,USD,,0,5,,,In Stock,FALSE,,,https://m.media-amazon.com/images/I/61XiWbe1-oL._AC_UY218_.jpg,58:39.2
B0GPSN95VK,"ASUS Vivobook Go 15 15.6” FHD 60Hz Laptop with Intel Processor N150, Intel UHD Graphics, 8GB RAM, 128GB SSD, Mixed Black",,laptop,33538.49,USD,,0,,,,In Stock,FALSE,,,https://m.media-amazon.com/images/I/61qA3mYPhQL._AC_UY218_.jpg,58:39.7
B0DZZWMB2L,"ASUS ROG Strix G16 (2025) Gaming Laptop, 16” FHD+ 16:10 165Hz/3ms Display, NVIDIA® GeForce RTX™ 5060 Laptop GPU, Intel® Core™ i7 Processor 14650HX, 16GB DDR5, 1TB Gen 4 SSD, Wi-Fi 7, Windows 11 Home",,laptop,128407.22,USD,,0,4.5,,1000,In Stock,FALSE,,,https://m.media-amazon.com/images/I/81n1T4CYfmL._AC_UY218_.jpg,58:40.5
B09S3HNMHF,"Samsung 14"" Galaxy Chromebook Go Laptop PC Computer, Intel Celeron N4500 Processor, 4GB RAM, 64GB Storage, ChromeOS, XE340XDA-KA2US, Student Laptop, Silver",,laptop,17247.9,USD,18302,5.76,4.4,,2000,In Stock,FALSE,,,https://m.media-amazon.com/images/I/51Lko54--JL._AC_UY218_.jpg,58:41.3
B0GKQTGRYS,"GEEKOM GeekBook X16 Pro 2.8 lbs Laptop, 16"" IPS 2.5K 16:10 Laptop Computer, Ultra 9 185H, 32GB LPDDR5x 7500MHz RAM 2TB SSD, Up to 17 Hour, USB4, Fingerprint, Dual Fan, Copilot, Windows 11 Pro",,laptop,129270.62,USD,162810.07,20.6,4.5,,,In Stock,FALSE,,,https://m.media-amazon.com/images/I/81jyYO0uO9L._AC_UY218_.jpg,58:43.0
B0F195W823,"Acer Nitro V 16S AI Gaming Laptop | AMD Ryzen 7 260 Processor | NVIDIA GeForce RTX 5060 Laptop GPU (572 AI Tops) | 16"" WUXGA IPS 180Hz Display | 32GB DDR5 | 1TB Gen 4 SSD | Wi-Fi 6 | ANV16S-41-R2AJ",,laptop,125532.41,USD,134156.84,6.43,4.2,,400000000,In Stock,FALSE,,,https://m.media-amazon.com/images/I/71HHF2jUnpL._AC_UY218_.jpg,58:55.3
B0FFDDFW47,"ASUS TUF Gaming F16 (2025) Gaming Laptop, 16” FHD+ 165Hz 16:10 Display, Intel® Core™ i5 Processor 13450HX, NVIDIA® GeForce RTX™ 5050, 16GB DDR5, 512GB PCIe Gen4 SSD, Wi-Fi 6E, Win 11 Home",,laptop,98700.85,USD,124574.14,20.77,4.5,,300000000,In Stock,FALSE,,,https://m.media-amazon.com/images/I/71cjDQIKaPL._AC_UY218_.jpg,58:55.6
B0F5KTGDS9,"Acer Nitro V Gaming Laptop | Intel Core i5-13420H Processor | NVIDIA GeForce RTX 4050 Laptop GPU | 15.6"" FHD IPS 165Hz Display | 8GB DDR5 | 512GB Gen 4 SSD | Wi-Fi 6 | Backlit KB | ANV15-52-586Z",,laptop,76660.64,USD,,0,4.5,,1000,In Stock,FALSE,,,https://m.media-amazon.com/images/I/71gXelI8upL._AC_UY218_.jpg,58:56.1
B0DTVQN7KM,"ASUS Vivobook Go 15.6” FHD Slim Laptop, AMD Ryzen 3 7320U Quad Core Processor, 8GB DDR5 RAM, 256GB SSD, Windows 11 Home, Fast Charging, Webcam Shield, Military Grade Durability, Black, E1504FA-AB34",,laptop,38226.35,USD,,0,4.3,,500000000,In Stock,FALSE,,,https://m.media-amazon.com/images/I/71DhTegVuPL._AC_UY218_.jpg,58:56.5
B0CWJB9ZC6,"ASUS Vivobook Go 15.6” Slim Laptop, AMD Ryzen 5 7520U, 8GB, 512GB, Windows 11 Home, Cool Silver, Military Grade Durability, Fast Charging, Webcam Shield, E1504FA-AS54",,laptop,40948.79,USD,,0,4.2,,500000000,In Stock,FALSE,,,https://m.media-amazon.com/images/I/71Os2Kn40pL._AC_UY218_.jpg,58:56.7
B0GKQTGRYS,"GEEKOM GeekBook X16 Pro 2.8 lbs Laptop, 16"" IPS 2.5K 16:10 Laptop Computer, Ultra 9 185H, 32GB LPDDR5x 7500MHz RAM 2TB SSD, Up to 17 Hour, USB4, Fingerprint, Dual Fan, Copilot, Windows 11 Pro",,laptop,129270.62,USD,162810.07,20.6,4.5,,,In Stock,FALSE,,,https://m.media-amazon.com/images/I/81jyYO0uO9L._AC_UY218_.jpg,58:57.2
B0GPSN95VK,"ASUS Vivobook Go 15 15.6” FHD 60Hz Laptop with Intel Processor N150, Intel UHD Graphics, 8GB RAM, 128GB SSD, Mixed Black",,laptop,33538.49,USD,,0,,,,In Stock,FALSE,,,https://m.media-amazon.com/images/I/61qA3mYPhQL._AC_UY218_.jpg,58:57.7
B0CRDCW3Q3,"ASUS 15.6” Vivobook Go Slim Laptop, Thin & Portable for Student Study, Intel Dual Core N4500, 4GB RAM, 128GB SSD, Windows 11, Star Black, L510KA-ES04",,laptop,20697.67,USD,23860.92,13.26,3.8,,,In Stock,FALSE,,,https://m.media-amazon.com/images/I/61KZBt8QeGL._AC_UY218_.jpg,58:57.9
B0D58RNGKY,"Dell Latitude 5400 Laptop | 14"""" 1920x1080 FHD | Core i5-8365U - 256GB SSD Hard Drive - 8GB RAM | 4 cores @ 4.1 GHz Win 11 Pro (Renewed), Black",,laptop,18771.55,USD,,0,4.2,,500000000,In Stock,FALSE,,,https://m.media-amazon.com/images/I/61PkGRSw05L._AC_UY218_.jpg,58:59.0
B0CRTYZG5C,"Soundcore P30i by Anker Noise Cancelling Earbuds, Strong and Smart Noise Cancelling, Powerful Bass, 45H Playtime, 2-in-1 Case and Phone Stand, IP54, Wireless Earbuds, Bluetooth 5.4 (Black)",,wireless earbuds,2682.2,USD,3832.12,30.01,4.4,,10000,In Stock,FALSE,,,https://m.media-amazon.com/images/I/51HbL1WS+KL._AC_UY218_.jpg,59:21.8
B0BTYCRJSS,"Soundcore by Anker P20i True Wireless Earbuds, 10mm Drivers with Big Bass, Bluetooth 5.3, 30H Long Playtime, Water-Resistant, 2 Mics for AI Clear Calls, 22 Preset EQs, Customization via App",,wireless earbuds,2312.31,USD,3832.12,39.66,4.4,,10000,In Stock,FALSE,,,https://m.media-amazon.com/images/I/51Yya2WtvkL._AC_UY218_.jpg,59:22.4
B0G1PJLWLZ,"Samsung Galaxy Buds 4 Pro (2026) AI True Wireless Bluetooth Earbuds, Hi-Res Audio, 2-Way Speaker, ANC 2.0, Optimized Comfort, IP57, Live Translation, Black [US Version, 2 Yr Warranty]",,wireless earbuds,22902.65,USD,,0,4.6,,8000,In Stock,FALSE,,,https://m.media-amazon.com/images/I/51QEHqsjzPL._AC_UY218_.jpg,59:22.7
B0DJH46BBL,"Lenovo E310 True Wireless Earbuds, Bluetooth 5.3 TWS Headphones with 13mm Drivers, AI Noise Reduction Mic, Up to 20H Battery with Case, USB-C Charging, IPX4 Water Resistant, Touch Control, Black",,wireless earbuds,1580.19,USD,2107.24,25.01,3.9,,500000000,In Stock,FALSE,,,https://m.media-amazon.com/images/I/513qzujhE9L._AC_UY218_.jpg,59:25.5
B0FNWCYLZN,"Soundcore P31i by Anker, Real-Time Adaptive Noise Cancelling, Hi-Res Sound, Translation Earbuds, 50H Playtime, Wireless Earbuds, Bluetooth Earphones, Spatial Audio, Fast Charging, IP55 (Black)",,wireless earbuds,6688.72,USD,,0,4.4,,9000,In Stock,FALSE,,,https://m.media-amazon.com/images/I/71fEWG6n4aL._AC_UY218_.jpg,59:44.0
B0DJH46BBL,"Lenovo E310 True Wireless Earbuds, Bluetooth 5.3 TWS Headphones with 13mm Drivers, AI Noise Reduction Mic, Up to 20H Battery with Case, USB-C Charging, IPX4 Water Resistant, Touch Control, Black",,wireless earbuds,1580.19,USD,2107.24,25.01,3.9,,500000000,In Stock,FALSE,,,https://m.media-amazon.com/images/I/513qzujhE9L._AC_UY218_.jpg,59:45.2
B09D33BXHL,"Office Chair Ergonomic Desk Chair, Computer PU Leather Home Office Chair, Swivel Mesh Back Adjustable Lumbar Support Flip-up Arms Executive Task Chair",,office chair,13173.34,USD,,0,4.5,,2000,In Stock,FALSE,,,https://m.media-amazon.com/images/I/71NSpc4hQJL._AC_UL320_.jpg,00:05.3
B0BGXH8F67,NEO CHAIR Office Desk Gaming Ergonomic Computer Chair with Lumbar Back Support Adjustable Height Swivel Rolling Wheels Flip-up Arms Mesh Chair for Home Vanity (Black),,office chair,4740.56,USD,5268.57,10.02,4.4,,1000,In Stock,FALSE,,,https://m.media-amazon.com/images/I/81kap+y0a4L._AC_UL320_.jpg,00:06.4
B07645VL18,Serta Bryce Executive Office Chair - Ergonomic Computer DeskChair with Lumbar Technology - Adjustable Height - Memory Foam Body Pillows - 360° Swivel Rolling Base - Bonded Leather - Black,,office chair,23859.96,USD,,0,4,,400000000,In Stock,FALSE,,,https://m.media-amazon.com/images/I/71wHC85AyvL._AC_UL320_.jpg,00:08.2
B06Y3PGPR2,"HON Ignition 2.0 Mid‑Back Ergonomic Office Chair, Mesh Task Seating with Lumbar Support, Advanced Synchro‑Tilt, Height and Width Adjustable Arms, Black Frame, Black",,office chair,44915.07,USD,,0,4,2000000,300000000,In Stock,FALSE,,,https://m.media-amazon.com/images/I/71AmEZ0N2AL._AC_UL320_.jpg,00:08.5
B07V8ZMFDQ,"Amazon Basics Ergonomic Executive Office Desk Chair with Lumbar Support, Flip-up Armrests, Adjustable Height, Cream Leather",,office chair,22039.25,USD,,0,4.2,,300000000,In Stock,FALSE,,,https://m.media-amazon.com/images/I/61CUGLzW65L._AC_UL320_.jpg,00:08.7
B00EUU5G82,Serta Bryce Executive Office Chair - Ergonomic Computer Desk Chair with Patented AIR Lumbar Technology - Adjustable Height - Memory Foam Body Pillows - 360° Swivel Rolling Base - Bonded Leather - Gray,,office chair,23859.96,USD,,0,4,,200000000,In Stock,FALSE,,,https://m.media-amazon.com/images/I/71UPdCo6XQL._AC_UL320_.jpg,00:09.1
B0BXSSJCCH,NEO CHAIR Office Desk Gaming Ergonomic Computer Chair with Lumbar Back Support Adjustable Height Swivel Rolling Wheels Flip-up Arms Mesh Chair for Home Vanity (Beige),,office chair,5747.7,USD,,0,4.4,,600000000,In Stock,FALSE,,,https://m.media-amazon.com/images/I/81IrHC4NrdL._AC_UL320_.jpg,00:10.3
B0GSZZKMKB,Marsail Executive Office Chair Ergonomic Desk Chair with Flip-up Armrests PU Leather Height-Adjustable Swivel Rolling Dark,,office chair,10538.1,USD,12456.55,15.4,4.6,,100000000,In Stock,FALSE,,,https://m.media-amazon.com/images/I/71OfDAWFfxL._AC_UL320_.jpg,00:15.1
B0DMS66T87,Marsail Ergonomic Mesh Office Chair High Back Desk Chair Adjustable Lumbar Support with Headrest Flip-Up Liftable Arms Swivel Computer Task Chair for Big and Tall People,,office chair,6208.63,USD,,0,4.3,,50000000,In Stock,FALSE,,,https://m.media-amazon.com/images/I/716pILhopXL._AC_UL320_.jpg,00:31.6
B01N2WKUZB,"Flash Furniture Whitney Mid-Back Swivel LeatherSoft Desk Chair with Padded Seat and Armrests, Adjustable Height Padded Office Chair, Black",,office chair,14080.82,USD,,0,4.4,,100000000,In Stock,FALSE,,,https://m.media-amazon.com/images/I/61WvyQekoiL._AC_UL320_.jpg,00:33.6
B00AVUQPTO,"Serta Amplify Executive Office Chair with Faux Leather and Mesh, Adjustable Ergonomic Comfy Seat with Lumbar Support, Modern Computer DeskChairs, Swivel Rolling Wheels, Black",,office chair,16289.63,USD,,0,4.1,,200000000,In Stock,FALSE,,,https://m.media-amazon.com/images/I/71ycUPrzqIL._AC_UL320_.jpg,00:33.8
B0D3DVJ1XN,"Sweetcrispy Home Office Managerial Executive Chair, Ergonomic Mesh Adjustable Swivel Mid-Back Chair with Comfortable Lumbar Support, Comfy Arms for Bedroom,Study,Student",,office chair,5886.65,USD,,0,4.5,,100000000,In Stock,FALSE,,,https://m.media-amazon.com/images/I/71hTqwyhzoL._AC_UL320_.jpg,00:34.0
B0DX41NG22,Martha Stewart Rayna Swivel Task Chair with Flared Arms for Home Office in Off White Fabric with Polished Brass Frame,,office chair,17429.97,USD,,0,4.2,,,In Stock,FALSE,,,https://m.media-amazon.com/images/I/71Wm2d6nm3L._AC_UL320_.jpg,00:34.9
B0BXSRL9XT,NEO CHAIR Office Desk Gaming Chair Computer High Back Mesh Seat with Rolling Wheels Ergonomic Adjustable Comfy Flip-up Armrests Lumbar Support Height for Home (Beige),,office chair,6918.71,USD,,0,4.2,,100000000,In Stock,FALSE,,,https://m.media-amazon.com/images/I/71UeSDWXeML._AC_UL320_.jpg,00:35.3
