asin,title,brand,category,price,currency,original_price,discount_percent,rating,review_count,bought_last_month,availability,is_prime,seller,product_url,image_url,scraped_at
B0GPSX4BWX,"ASUS Vivobook Go 15 15.6” FHD 60Hz Laptop with Intel Processor N150, Intel UHD Graphics, 8GB RAM, 128GB SSD, Cool Silver",,laptop,33538.49,USD,,0.0,5.0,,,In Stock,False,,,https://m.media-amazon.com/images/I/61XiWbe1-oL._AC_UY218_.jpg,2026-06-12T09:58:39.159616
B0GPSN95VK,"ASUS Vivobook Go 15 15.6” FHD 60Hz Laptop with Intel Processor N150, Intel UHD Graphics, 8GB RAM, 128GB SSD, Mixed Black",,laptop,33538.49,USD,,0.0,,,,In Stock,False,,,https://m.media-amazon.com/images/I/61qA3mYPhQL._AC_UY218_.jpg,2026-06-12T09:58:39.742946
B0FJLJLK14,HP Everyday Laptop • 2026 Edition • 8GB RAM • 256GB SSD • Microsoft Office 365 Included • Thin & Portable • Fast Charge and Up to 12 Hours Battery Life • Windows 11,,laptop,,USD,,0.0,4.0,,1000,In Stock,False,,,https://m.media-amazon.com/images/I/613yrWjAXXL._AC_UY218_.jpg,2026-06-12T09:58:39.927434
B0DZZWMB2L,"ASUS ROG Strix G16 (2025) Gaming Laptop, 16” FHD+ 16:10 165Hz/3ms Display, NVIDIA® GeForce RTX™ 5060 Laptop GPU, Intel® Core™ i7 Processor 14650HX, 16GB DDR5, 1TB Gen 4 SSD, Wi-Fi 7, Windows 11 Home",,laptop,128407.22,USD,,0.0,4.5,,1000,In Stock,False,,,https://m.media-amazon.com/images/I/81n1T4CYfmL._AC_UY218_.jpg,2026-06-12T09:58:40.476569
B0GRVFY42Q,"HP 15.6"" FHD Laptop 2026 Edition with Copilot AI, 16GB RAM, 256GB SSD, Intel Processor, Long Battery Life, Lightweight 3.64 lbs, Microsoft 365, Windows 11 for Students & Office",,laptop,,USD,,0.0,4.3,,1000,In Stock,False,,,https://m.media-amazon.com/images/I/71agXAvSukL._AC_UY218_.jpg,2026-06-12T09:58:40.722295
B0GX66CNNJ,"Lenovo 2026 Premium Laptop, Intel Core i7-13620H (Beat i7-1355U), 16GB DDR5, 512GB SSD, 15"" FHD+ Copilot AI PC, Windows 11 – for Power Business Multitasker",,laptop,,USD,,0.0,4.2,,300000000,In Stock,False,,,https://m.media-amazon.com/images/I/81oTjpzRTaL._AC_UY218_.jpg,2026-06-12T09:58:40.878239
B0G4N8LQL2,"15.6"" Laptop Computer 2-in-1 AMD Ryzen 7430U (Beat i7-1355U) Win11 Pro, MS Office 365 Traditional Laptops 16GB 512GB SSD Backlit Keyboard Full HD IPS Display 1MP Camera Type-C BT 5.0 HDMI",,laptop,,USD,,0.0,3.0,,,In Stock,False,,,https://m.media-amazon.com/images/I/71W0uGU14sL._AC_UY218_.jpg,2026-06-12T09:58:41.049164
B09S3HNMHF,"Samsung 14"" Galaxy Chromebook Go Laptop PC Computer, Intel Celeron N4500 Processor, 4GB RAM, 64GB Storage, ChromeOS, XE340XDA-KA2US, Student Laptop, Silver",,laptop,17247.9,USD,18302.0,5.76,4.4,,2000,In Stock,False,,,https://m.media-amazon.com/images/I/51Lko54--JL._AC_UY218_.jpg,2026-06-12T09:58:41.304049
B09WXZV2T2,"Dell Latitude 7420 FHD Laptop Notebook with Intel Core i7 11th Gen Processor (16GB Ram, 512GB SSD, WiFi, Bluetooth) Windows 11 Pro - Carbon Fiber (Renewed)",,laptop,,USD,,0.0,3.9,,300000000,In Stock,False,,,https://m.media-amazon.com/images/I/61VRqYjVIvL._AC_UY218_.jpg,2026-06-12T09:58:41.464153
B09XN6BQ5F,"HP 17 Laptop, 17.3"" HD+ Touchscreen, Intel Core i7-1255U Processor, 32GB RAM, 1TB SSD, Webcam, HDMI, Backlit Keyboard, Wi-Fi, Windows 11 Home, Silver",,laptop,,USD,,0.0,4.2,,,In Stock,False,,,https://m.media-amazon.com/images/I/71MUhny6I0L._AC_UY218_.jpg,2026-06-12T09:58:41.640384
B0CK9JSM3G,"Lenovo V15 Laptop, 15.6"" FHD Display, AMD Ryzen 5 5500U Hexa-core Processor (Beat Intel i7-1065G7), 16GB RAM, 512GB SSD, HDMI, RJ45, Numeric Keypad, Wi-Fi, Windows 11 Pro, Black",,laptop,,USD,,0.0,4.4,,400000000,In Stock,False,,,https://m.media-amazon.com/images/I/71ucBPBJeoL._AC_UY218_.jpg,2026-06-12T09:58:41.835575
B0G3WW9R85,"15.6"" Laptop Computer, Core m3 8100Y(up to 3.40 GHz) Laptop, 360° Yoga FHD IPS sRGB Touchscreen 2 in 1 Notebook Win 11 Pro Office Suite 2.4G & 5G WiFi 5 BT 5.0 USB 3.0 (16G+512G)",,laptop,,USD,,0.0,4.0,,,In Stock,False,,,https://m.media-amazon.com/images/I/71tXirw+XVL._AC_UY218_.jpg,2026-06-12T09:58:41.991725
B0GY16ZXZV,"HP Laptop 2026 Edition with Copilot AI, 16GB RAM, 512GB SSD + 128GB UFS, Intel Processor, Long Battery Life, Lightweight, 1 Year Office 365, Windows 11 Home S for Students & Office, Type-C HUB, Pink",,laptop,,USD,,0.0,4.5,,100000000,In Stock,False,,,https://m.media-amazon.com/images/I/71I3tt8nOCL._AC_UY218_.jpg,2026-06-12T09:58:42.149538
B0DC6LT34G,"HP Stream 14"" HD BrightView Laptop, Intel Celeron N4120, 16GB RAM, 416GB Storage (128GB eMMC + 288GB Docking Station Set), Intel UHD Graphics, 720p Camera, Wi-Fi, 1 Year Office 365, Win 11 S, Silver",,laptop,,USD,,0.0,4.4,,300000000,In Stock,False,,,https://m.media-amazon.com/images/I/71bg--zkvSL._AC_UY218_.jpg,2026-06-12T09:58:42.390605
B0GX77PF25,"HP ProBook x360 11 G5 EE 11.6"" 2-in-1 Touchscreen Notebook Computer (Intel 4-Core Pentium Silver N5030, 8GB RAM, 256GB SSD, Window 11 Pro) (Renewed)",,laptop,,USD,,0.0,4.0,,400000000,In Stock,False,,,https://m.media-amazon.com/images/I/614XejkqwPL._AC_UY218_.jpg,2026-06-12T09:58:42.555077
B0D1YQJKY2,"Lenovo V15 Gen 4 Business Laptop, 15.6"" FHD Display, Intel Core i5-13420H (Beat i7-1355U), HDMI, RJ45, Webcam, Numeric Keypad, Wi-Fi, Windows 11 Pro, Black (16GB RAM | 512GB SSD)",,laptop,,USD,,0.0,4.6,,400000000,In Stock,False,,,https://m.media-amazon.com/images/I/71N9tTF6pML._AC_UY218_.jpg,2026-06-12T09:58:42.744871
B0GKQTGRYS,"GEEKOM GeekBook X16 Pro 2.8 lbs Laptop, 16"" IPS 2.5K 16:10 Laptop Computer, Ultra 9 185H, 32GB LPDDR5x 7500MHz RAM 2TB SSD, Up to 17 Hour, USB4, Fingerprint, Dual Fan, Copilot, Windows 11 Pro",,laptop,129270.62,USD,162810.07,20.6,4.5,,,In Stock,False,,,https://m.media-amazon.com/images/I/81jyYO0uO9L._AC_UY218_.jpg,2026-06-12T09:58:43.032659
B0GX7RZMGJ,"Lenovo 2026 New V15 Laptop for Student & Business, Powerful AMD Ryzen 3 7320U (Beat i7-1065G7), 15.6 inch FHD, 16GB RAM, 256GB SSD, Ethernet Port RJ-45, Windows 11 Pro, Long Battery Life, No Mouse",,laptop,,USD,,0.0,,,100000000,In Stock,False,,,https://m.media-amazon.com/images/I/71lQ+pMJeVL._AC_UY218_.jpg,2026-06-12T09:58:43.198387
