Product ID,Product Name,Category,Sub Category,Unit Price
PROD-0001,"ASUS Vivobook Go 15 15.6” FHD 60Hz Laptop with Intel Processor N150, Intel UHD G",Technology,Computers,33538.49
PROD-0002,"ASUS Vivobook Go 15 15.6” FHD 60Hz Laptop with Intel Processor N150, Intel UHD G",Technology,Computers,33538.49
PROD-0003,"ASUS ROG Strix G16 (2025) Gaming Laptop, 16” FHD+ 16:10 165Hz/3ms Display, NVIDI",Technology,Computers,128407.22
PROD-0004,"Samsung 14"" Galaxy Chromebook Go Laptop PC Computer, Intel Celeron N4500 Process",Technology,Computers,17247.9
PROD-0005,"GEEKOM GeekBook X16 Pro 2.8 lbs Laptop, 16"" IPS 2.5K 16:10 Laptop Computer, Ultr",Technology,Computers,129270.62
PROD-0006,Acer Nitro V 16S AI Gaming Laptop | AMD Ryzen 7 260 Processor | NVIDIA GeForce R,Technology,Computers,125532.41
PROD-0007,"ASUS TUF Gaming F16 (2025) Gaming Laptop, 16” FHD+ 165Hz 16:10 Display, Intel® C",Technology,Computers,98700.85
PROD-0008,Acer Nitro V Gaming Laptop | Intel Core i5-13420H Processor | NVIDIA GeForce RTX,Technology,Computers,76660.64
PROD-0009,"ASUS Vivobook Go 15.6” FHD Slim Laptop, AMD Ryzen 3 7320U Quad Core Processor, 8",Technology,Computers,38226.35
PROD-0010,"ASUS Vivobook Go 15.6” Slim Laptop, AMD Ryzen 5 7520U, 8GB, 512GB, Windows 11 Ho",Technology,Computers,40948.79
PROD-0011,"GEEKOM GeekBook X16 Pro 2.8 lbs Laptop, 16"" IPS 2.5K 16:10 Laptop Computer, Ultr",Technology,Computers,129270.62
PROD-0012,"ASUS Vivobook Go 15 15.6” FHD 60Hz Laptop with Intel Processor N150, Intel UHD G",Technology,Computers,33538.49
PROD-0013,"ASUS 15.6” Vivobook Go Slim Laptop, Thin & Portable for Student Study, Intel Dua",Technology,Computers,20697.67
PROD-0014,"Dell Latitude 5400 Laptop | 14"""" 1920x1080 FHD | Core i5-8365U - 256GB SSD Hard ",Technology,Computers,18771.55
